c,pc1_complex,H_complex,trace
0.0,0.9405179706645547,0.2599958213908669,36.21795427867524
0.2,0.9350195039991052,0.2901581323611075,37.03120142213314
0.4,0.9206105756379557,0.3526408482113309,39.78479117691943
0.45,0.9178372067339984,0.36420124226404255,40.68867420178534
0.5,0.9149619988552934,0.3744565961352367,41.978616215298224
0.55,0.9133061960511815,0.3836840732723372,43.167684044788714
0.6,0.9093870129504805,0.40130532904973215,44.40827390734842
0.7,0.9053747570915303,0.4191186801585247,47.8465567245343
0.8,0.8997955615952519,0.44214132537030904,52.473462221744164
0.9,0.9002140850525361,0.44256576816518833,57.721962939100436
1.0,0.9057726562118966,0.4242978762915739,63.75110442047928
