t,coh_primes,coh_composites,ratio_p/c
80.0,0.6334615180028504,0.23354248199074737,2.712403810232467
80.5,2.548532334820471,0.32636035222962845,7.808952029281159
81.0,0.7811430704680228,0.4990362112486065,1.5653033845250925
81.5,0.08292668277024692,0.5185537217622201,0.15991917382915338
82.0,0.004879077115602197,0.7604643505738339,0.006415918263519553
82.5,0.38478771404939527,0.031815387721933805,12.094390218105664
83.0,0.11066822339805724,0.5969400849127631,0.18539251458415681
83.5,0.13668317411878275,0.978638695450118,0.1396666356585423
84.0,0.29821168585312313,2.50628200911314,0.11898568667404143
84.5,1.562192221484835,1.6247151676856473,0.9615175955488406
85.0,0.49794708572591617,1.259256571287905,0.3954294121464387
85.5,2.5497160452769543,0.47858368717385963,5.32762840357886
86.0,0.7329683899862974,1.6177242620589238,0.45308610816866135
86.5,0.0604475219028424,2.4646753775862296,0.024525551093889472
87.0,0.4463415026726246,0.7848338084028483,0.568708302183029
87.5,1.32525847670618,0.011088179587569079,119.51993257684272
88.0,2.2382397929419637,0.06578222843417741,34.024991950243475
88.5,0.6831155509123608,0.40262024039856187,1.6966746387020457
89.0,0.08221869350668859,1.021928342103423,0.08045446057152972
89.5,0.1668229654069963,1.4524840184782593,0.11485356347106224
90.0,0.30445013278856903,0.034108321356634205,8.925978197673814
