function,name,d,q,GRH,t,|D|,S0_re,S0_im,abs_S0,S1_re,S1_im,abs_S1,S2_re,S2_im,abs_S2,S3_re,S3_im,abs_S3,S4_re,S4_im,abs_S4,S5_re,S5_im,abs_S5,S6_re,S6_im,abs_S6,S7_re,S7_im,abs_S7
F14,L(chi_7)+c*L(chi_11),1,77,False,18422.43000003064,25.628358370326744,0.39193815219266714,0.048773370997570224,0.39496120931386275,5.076480181454078,1.010635258797288,5.176102265123854,9.191726804875067,1.3410795554610178,9.289043870578626,6.621901203570556,-0.4116633598318531,6.634684790679753,3.4769537064868996,-0.8509666749339706,3.5795741868134496,0.8078853359454713,-0.3295941651716585,0.8725313918426829,0.05116465620206281,-0.07849557036271101,0.09369832768434344,-0.00010215136994328939,0.0006415357576627883,0.0006496176034724264
F14,L(chi_7)+c*L(chi_11),1,77,False,15911.810000021507,24.869354507615576,0.39193815219266714,0.048773370997570224,0.39496120931386275,5.951799464627213,0.3231060596223878,5.960563261379036,7.756126281414665,-2.1916902010250623,8.059838759585737,6.056303924518939,0.2189167160233271,6.060259215140714,3.5418005849261216,0.5045866517676776,3.5775632870048764,1.0997868084445444,0.5698736348873612,1.238663385980376,0.06803835433993001,0.07865397111122788,0.10399838860699594,-0.0004623779219088674,0.00045629999788789825,0.0006496176034724264
F14,L(chi_7)+c*L(chi_11),1,77,False,16981.4600000254,24.54450279904008,0.39193815219266714,0.048773370997570224,0.39496120931386275,5.018765237826551,0.3827073126976868,5.033335812322527,8.678834974229808,-3.0771126592947775,9.208191941304584,5.155357004787794,-2.440048959366084,5.703643113915708,3.925450859846266,1.47042583586835,4.191815429125778,1.1690630766604808,0.9644388130133743,1.5155364400955575,0.07310814611090789,0.11270291727461852,0.13433818738535727,0.000343919239504019,-0.0005511103223858505,0.0006496176034724266
F14,L(chi_7)+c*L(chi_11),1,77,False,11913.900000006963,23.5029648635878,0.39193815219266714,0.048773370997570224,0.39496120931386275,5.323579320556645,1.277000778234754,5.474598411744054,6.850320370663212,2.2270085237354804,7.203225398771986,5.167109811769251,2.377932460686407,5.688021325071503,3.613273212581897,0.07153594627173501,3.613981281131779,1.373034999395796,-0.3810039199917854,1.4249172244782922,0.11558420931953425,-0.05956374785567121,0.13002903330654997,0.0006311451272074241,-0.00015381436585567415,0.0006496176034724266
F14,L(chi_7)+c*L(chi_11),1,77,False,19292.350000033806,23.323981883430807,0.39193815219266714,0.048773370997570224,0.39496120931386275,4.2262394765911155,2.6184386751532727,4.97165175862465,7.563093224821478,-0.3600511955121657,7.571658734433974,3.7479617899136546,-0.7722731118464339,3.826698751918387,4.350970102553087,1.5519946740069315,4.619483553543264,2.6825777698639013,0.01897509567744617,2.6826448787761588,0.1550145528373746,-0.015081285027389542,0.15574645019854727,0.000540882737115301,-0.0003597900713359375,0.0006496176034724264
F14,L(chi_7)+c*L(chi_11),1,77,False,13944.39000001435,23.279625527448445,0.39193815219266714,0.048773370997570224,0.39496120931386275,5.675800059287657,0.6762374765812114,5.715942917642084,7.6169041072766595,1.3781150950377437,7.740570353314989,6.1073575729138385,1.10918806389273,6.207263059071212,2.582137262641472,-0.28901394855680085,2.5982613235742833,0.7294457190360623,-0.16511199461440823,0.7478990759357751,0.006601745390079046,0.04039785684249958,0.040933725455454456,0.0006302332904790218,-0.00015750882614394579,0.0006496176034724264
F14,L(chi_7)+c*L(chi_11),1,77,False,10255.140000000929,22.839979373145123,0.39193815219266714,0.048773370997570224,0.39496120931386275,6.8398455006763506,1.0611786223335646,6.921675125402829,4.5822035700315205,1.081194032524339,4.708032507659208,6.903883724568074,3.702850617836872,7.834201502410496,3.302019918218643,-1.6331238498442893,3.6838063262395986,0.38448450902664744,-0.2784819150665849,0.474742577299124,0.07535795561798694,0.054526635369914415,0.09301599561197038,0.0006258559733766602,0.00017409000927684493,0.0006496176034724266
F14,L(chi_7)+c*L(chi_11),1,77,False,16763.730000024607,22.696832470054797,0.39193815219266714,0.048773370997570224,0.39496120931386275,5.782228766599688,1.3476085479428943,5.937189428322268,7.809756902565614,-0.8923620988716966,7.8605733246802005,3.5654477113379017,-0.17568822078127871,3.5697736249244114,3.2748871739507996,-0.1522952820009791,3.278426429710939,1.7075768865715677,-0.34073841925289805,1.7412413657814394,0.16353997249198715,-0.08420290474607227,0.18394415394449487,9.908588832250332e-05,0.0006420163685425779,0.0006496176034724267
F14,L(chi_7)+c*L(chi_11),1,77,False,12222.640000008087,22.64886296683215,0.39193815219266714,0.048773370997570224,0.39496120931386275,5.445868726445825,-0.5220097805008339,5.470829955008582,6.263433618014737,-1.0708421240479244,6.35431377427277,6.028880793107049,-1.3677715702487696,6.182087243470111,3.3040741255835213,0.11961031039517615,3.3062384145284116,0.9950174422413803,-0.3949960114121703,1.0705519881799772,-0.008998022120632453,-0.024492307785940633,0.026092863828346614,-0.0001373541801076609,0.0006349305945914175,0.0006496176034724264
F14,L(chi_7)+c*L(chi_11),1,77,False,18730.980000031763,22.411016730271545,0.39193815219266714,0.048773370997570224,0.39496120931386275,6.124697567652766,0.564175295389306,6.150627127304931,4.9845754438275875,-3.4469497887972804,6.060318077601093,3.9515565450697605,2.4209434290325715,4.634195314772528,5.940392047195925,-0.27701860211609564,5.946847650672324,0.8886237698467409,-0.14736065386239053,0.9007593278136977,0.11580001073138114,0.08049517356891066,0.14102877526688318,0.0006480516094840669,4.5079287775752914e-05,0.0006496176034724264
F14,L(chi_7)+c*L(chi_11),1,77,False,18948.840000032556,22.18544854490314,0.39193815219266714,0.048773370997570224,0.39496120931386275,4.0420649702216345,-0.6705257163827263,4.097303254559442,5.821280804933673,-1.9397209304971277,6.135945526004764,4.859771175251099,-1.9910502280859346,5.251824148480459,4.461185313697259,-0.5964492859037447,4.500880597594564,1.9438939998765645,0.2279829631033244,1.95721744173239,0.12627893331208848,0.05812602448800047,0.13901440112887054,-0.00035144284062881237,0.0005463432625300782,0.0006496176034724266
