family,alpha,excess_kurtosis,gev_xi,gev_xi_stderr
Real,0.0,0.2952206620872255,-0.11935948218268122,0.10106285316476953
Real,0.1,0.6235307889110331,-0.328671057983971,0.10779781985432053
Real,0.2,0.4810502747245864,-0.17411239764075842,0.10224835893638198
Real,0.5,0.5195301139740165,-0.12957305322159574,0.1012513587159081
Real,0.8,0.40190537723378705,-0.1880270268142311,0.10261731063611537
Real,1.0,0.757591520927341,-0.311572897232389,0.10703347632561866
Complex,0.0,0.757591520927341,-0.311572897232389,0.10703347632561866
Complex,0.1,0.3103413144163438,-0.24784256347332861,0.10450544982935321
Complex,0.2,0.3116015090810049,-0.20513602921268353,0.10310776817106074
Complex,0.5,0.5887927534340709,-0.21332582903063407,0.10335675420587717
Complex,0.8,0.5838368730314287,-0.17740290967516922,0.10233316610668433
Complex,1.0,0.29049677308837607,-0.26145443820848174,0.10500179212224758
